Video ID,Video Title,Published Date,Published Time,Views Count,Comments Count,Likes Count,Hashtags,Is Private
uoV9p-sxH54,Is the commentators curse real I Binga & Gilly’s worst acting performances I The Ashes I Fox Cricket,2021-12-17,07:07:52Z,140320,79,2143,"['fox cricket', 'cricket', 'fox sports australia', 'australia', 'aus', 'fox sports aus', 'bbl', 'big bash', 'big bash league', 'wbbl', 'Tests', 'ODI', 'ODIs', 'The Big Break', 'Adam Gilchrist', 'Brett Lee', 'England', 'Ashes', 'David Warner', 'India']",False
ZLBdS53Hg3s,Stumps: Ashes Daily - England collapse leaving Australia on the edge of 2-0,2021-12-18,12:36:12Z,26064,60,611,"['fox cricket', 'cricket', 'fox sports australia', 'australia', 'aus', 'fox sports aus', 'bbl', 'big bash', 'big bash league', 'wbbl', 'Tests', 'ODI', 'ODIs']",False
-6-rikAz2Rw,Quality Time with Mark Waugh,2021-12-20,03:49:45Z,16834,52,318,"['fox cricket', 'cricket', 'fox sports australia', 'australia', 'aus', 'fox sports aus', 'bbl', 'big bash', 'big bash league', 'wbbl', 'Tests', 'ODI', 'ODIs']",False
6caSroyzQm4,Warnie's Favourite Series | Summer of Spin,2021-12-26,21:24:31Z,7486,7,177,"['fox cricket', 'cricket', 'fox sports australia', 'australia', 'aus', 'fox sports aus', 'bbl', 'big bash', 'big bash league', 'wbbl', 'Tests', 'ODI', 'ODIs']",False
Yv1XCipXhwA,Quality Time with Merv Hughes,2021-12-27,00:55:45Z,15970,14,213,"['fox cricket', 'cricket', 'fox sports australia', 'australia', 'aus', 'fox sports aus', 'bbl', 'big bash', 'big bash league', 'wbbl', 'Tests', 'ODI', 'ODIs', 'Merv Hughes', 'Brendon Julian', '4WD Supa Centre']",False
m7mSEhPbrHA,Warnie’s Favourite Fan Moment | Summer of Spin,2022-01-04,23:30:05Z,6235,6,158,"['fox cricket', 'cricket', 'fox sports australia', 'australia', 'aus', 'fox sports aus', 'bbl', 'big bash', 'big bash league', 'wbbl', 'Tests', 'ODI', 'ODIs']",False
KlMWBCAT-Zc,Quality Time with Brad Haddin,2022-01-04,23:30:02Z,4624,6,84,"['fox cricket', 'cricket', 'fox sports australia', 'australia', 'aus', 'fox sports aus', 'bbl', 'big bash', 'big bash league', 'wbbl', 'Tests', 'ODI', 'ODIs']",False
OLkzBSPvkwQ,Langer's time running out? I Root should step down? I When Vaughan BOWLED Tendulkar I Fox Cricket,2022-01-05,04:02:24Z,89328,69,902,"['fox cricket', 'cricket', 'fox sports australia', 'australia', 'aus', 'fox sports aus', 'bbl', 'big bash', 'big bash league', 'wbbl', 'Tests', 'ODI', 'ODIs', 'The Ashes', 'England', 'Michael Vaughan', 'Sachin Tendulkar', 'India', 'Brett Lee', ""Kerry O'Keeffe"", 'Joe Root', 'Justin Langer']",False
ynSWRpMlh0U,Stumps: Khawaja stars with Century | The Ashes | Fox Cricket,2022-01-06,08:54:51Z,10893,13,317,"['fox cricket', 'cricket', 'fox sports australia', 'australia', 'aus', 'fox sports aus', 'bbl', 'big bash', 'big bash league', 'wbbl', 'Tests', 'ODI', 'ODIs']",False
mjcFG-tS3Ho,A leg spin bowling masterclass from Shane Warne and Kerry O'Keeffe | FOX Cricket | The Ashes,2022-01-07,03:14:59Z,351448,390,4126,"['Shane Warne', 'Leg Spin', 'Australia', 'Ashes', 'England', ""Kerry O'Keeffe"", 'Masterclass']",False
