Serial,Event,Code Province,Code District,Code Division,Date (YMD),Duration (d),Deaths,Injured,Missing,Houses Destroyed,Houses Damaged,Victims,Affected,Relocated,Evacuated,Losses $USD,Losses $Local,Education centers,Hospitals,Damages in crops Ha.,Lost Cattle,Damages in roads Mts
FL2010,FLOOD,lka006,lka006002,lka006002009,21/11/2010,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0
FL2010,FLOOD,lka006,lka006002,lka006002012,21/11/2010,0,0.0,0.0,0.0,1.0,3,0,1010,0,0,0,0,0,0,0.0,0,0
FL2010,FLOOD,lka006,lka006002,lka006002030,22/11/2010,0,0.0,0.0,0.0,0.0,0,0,35,0,0,0,0,0,0,0.0,0,0
FL2010,FLOOD,lka006,lka006002,lka006002030,22/11/2010,0,0.0,0.0,0.0,0.0,0,0,1594,0,0,0,0,0,0,0.0,0,0
FL2010,FLOOD,lka006,lka006002,lka006002018,22/11/2010,0,0.0,0.0,0.0,0.0,0,0,61,0,0,0,0,0,0,0.0,0,0
FL2010,FLOOD,lka006,lka006002,lka006002018,22/11/2010,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0
FL2010,FLOOD,lka006,lka006002,lka006002039,24/11/2010,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0
FL2010,FLOOD,lka006,lka006002,lka006002039,29/11/2010,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0
FL2010,FLOOD,lka006,lka006002,lka006002048,2/12/2010,0,0.0,0.0,0.0,0.0,0,0,81,0,0,0,0,0,0,0.0,0,0
FL2010,FLOOD,lka001,lka001002,lka001002018,21/09/2010,0,0.0,0.0,0.0,0.0,0,0,421,0,0,0,0,0,0,0.0,0,0
FL2010,FLOOD,lka001,lka001002,lka001002018,21/09/2010,0,0.0,0.0,0.0,0.0,0,0,1238,0,0,0,0,0,0,0.0,0,0
FL2010,FLOOD,lka001,lka001002,lka001002018,21/09/2010,0,0.0,0.0,0.0,0.0,0,0,58,0,0,0,0,0,0,0.0,0,0
FL2010,FLOOD,lka001,lka001002,lka001002018,3/10/2010,0,0.0,0.0,0.0,0.0,0,0,561,0,0,0,0,0,0,0.0,0,0
FL2010,FLOOD,lka001,lka001002,lka001002018,3/10/2010,0,0.0,0.0,0.0,0.0,0,0,604,0,0,0,0,0,0,0.0,0,0
FL2010,FLOOD,lka001,lka001002,lka001002018,3/10/2010,0,0.0,0.0,0.0,0.0,0,0,250,0,0,0,0,0,0,0.0,0,0
FL2010,FLOOD,lka001,lka001002,lka001002018,10/10/2010,0,0.0,0.0,0.0,0.0,0,0,1402,0,0,0,0,0,0,0.0,0,0
FL2010,FLOOD,lka001,lka001002,lka001002018,3/10/2010,0,0.0,0.0,0.0,0.0,0,0,800,0,0,0,0,0,0,0.0,0,0
FL2010,FLOOD,lka001,lka001002,lka001002018,10/10/2010,0,0.0,0.0,0.0,0.0,0,0,1404,0,0,0,0,0,0,0.0,0,0
FL2010,FLOOD,lka001,lka001002,lka001002018,3/10/2010,0,0.0,0.0,0.0,0.0,0,0,500,0,0,0,0,0,0,0.0,0,0
FL2010,FLOOD,lka001,lka001002,lka001002018,10/10/2010,0,0.0,0.0,0.0,0.0,0,0,408,0,0,0,0,0,0,0.0,0,0
FL2010,FLOOD,lka001,lka001002,lka001002018,3/10/2010,0,0.0,0.0,0.0,0.0,0,0,750,0,0,0,0,0,0,0.0,0,0
